mutant_ID,mutated_genes,light_regime,is_outlier_IQR,WT_quantile,myria_prediction
LMJ.RY0402.198898,Cre04.g215800,20h_HL,True,0.0,other
LMJ.RY0402.222419,Cre02.g146300,20h_HL,True,0.0,other
LMJ.RY0402.234238,"Cre04.g229163,Cre09.g393000",20h_HL,True,0.0,other
LMJ.RY0402.225950,"Cre05.g236000,Cre01.g004124",20h_HL,True,0.0,other
LMJ.RY0402.086572,Cre03.g153400,20h_HL,True,0.0,other
LMJ.RY0402.077214,Cre07.g329300,20h_HL,True,0.0,other
LMJ.RY0402.073018,"Cre02.g095115,Cre13.g565150",20h_HL,True,0.0,other
LMJ.RY0402.167835,Cre07.g322350,20h_HL,True,0.0,other
LMJ.RY0402.205790,Cre02.g108500,20h_HL,True,0.0,other
LMJ.RY0402.135873,Cre06.g274400,20h_HL,True,0.0,high_light_freq
LMJ.RY0402.122830,Cre08.g358568,20h_HL,True,0.0,other
LMJ.RY0402.137912,"Cre03.g176961,Cre14.g613652",20h_HL,True,0.0,other
LMJ.RY0402.151780,Cre09.g389912,20h_HL,True,0.0,other
LMJ.RY0402.179394,Cre07.g323450,20h_HL,True,0.0,high_light_freq
LMJ.RY0402.076841,Cre04.g216050,20h_HL,True,0.0,other
LMJ.RY0402.162534,Cre08.g379800,20h_HL,True,0.0,other
LMJ.RY0402.087011,Cre07.g334950,20h_HL,True,0.0,other
LMJ.RY0402.190235,Cre01.g040250,20h_HL,True,0.0,other
LMJ.RY0402.229127,"Cre10.g431250,Cre07.g315850",20h_HL,True,0.0,other
LMJ.RY0402.113423,"Cre17.g716750,Cre07.g323450",20h_HL,True,0.0,other
LMJ.RY0402.065715,"Cre01.g024800,Cre01.g040250",20h_HL,True,0.0,other
LMJ.RY0402.192713,Cre02.g076987,20h_HL,True,0.0,other
LMJ.RY0402.152855,Cre02.g095111,20h_HL,True,0.0,other
LMJ.RY0402.069599,Cre09.g391753,20h_HL,True,0.0,other
LMJ.RY0402.092967,Cre01.g003700,20h_HL,True,0.0,other
LMJ.RY0402.166049,Cre09.g387400,20h_HL,True,0.0,other
LMJ.RY0402.122231,Cre01.g039550,20h_HL,True,0.0,other
LMJ.RY0402.047723,"Cre03.g183150 & Cre03.g183200,Cre03.g183150,Cre03.g183200",20h_HL,True,0.0,other
LMJ.RY0402.215120,Cre06.g278177,20h_HL,True,0.0,other
LMJ.RY0402.215592,Cre07.g347100,20h_HL,True,0.0,other
LMJ.RY0402.113112,Cre02.g119050,20h_HL,True,0.0,other
LMJ.RY0402.200802,Cre09.g386850,20h_HL,True,0.0,high_freq
LMJ.RY0402.211521,Cre17.g698550,20h_HL,True,0.0,other
LMJ.RY0402.189511,Cre07.g356850,20h_HL,True,0.0,other
LMJ.RY0402.226866,Cre01.g000650,20h_HL,True,0.0,other
LMJ.RY0402.099612,Cre01.g036100,20h_HL,True,0.0,other
LMJ.RY0402.243098,Cre02.g095081,20h_HL,True,0.0,other
LMJ.RY0402.242586,Cre06.g278251,20h_HL,True,0.0,other
LMJ.RY0402.237217,Cre15.g635800,20h_HL,True,0.0,high_freq
LMJ.RY0402.236807,Cre08.g358571,20h_HL,True,0.0,high_light_freq
LMJ.RY0402.242694,Cre08.g367350,20h_HL,True,0.0,high_light_freq
LMJ.RY0402.243149,Cre16.g688350,20h_HL,True,0.0,other
LMJ.RY0402.244803,Cre04.g224200,20h_HL,True,0.0,other
LMJ.RY0402.256443,"Cre07.g325715,Cre11.g467566 & Cre11.g467567",20h_HL,True,0.0,other
LMJ.RY0402.083780,Cre07.g340400,20h_HL,True,0.0,other
LMJ.RY0402.079968,Cre03.g203150,20h_HL,True,0.0,other
LMJ.RY0402.116100,Cre10.g425100,20h_HL,True,0.0,other
LMJ.RY0402.111037,Cre13.g607300,20h_HL,True,0.0,other
LMJ.RY0402.105594,Cre04.g213652,20h_HL,True,0.0,other
LMJ.RY0402.052578,Cre02.g076200,20h_HL,True,0.0,other
LMJ.RY0402.075592,Cre10.g445800,20h_HL,True,0.0,other
LMJ.RY0402.060548,Cre02.g095137,20h_HL,True,0.0,other
LMJ.RY0402.165850,Cre05.g248250,20h_HL,True,0.0,other
LMJ.RY0402.158452,Cre10.g453050,20h_HL,True,0.0,high_light_freq
LMJ.RY0402.154491,Cre01.g021550,20h_HL,True,0.0,other
LMJ.RY0402.171039,Cre02.g095058,20h_HL,True,0.0,other
LMJ.RY0402.172262,Cre13.g591501,20h_HL,True,0.0,other
LMJ.RY0402.137617,Cre07.g325754,20h_HL,True,0.0,other
LMJ.RY0402.132166,Cre07.g332300,20h_HL,True,0.0,other
LMJ.RY0402.141182,Cre01.g012150,20h_HL,True,0.0,other
LMJ.RY0402.143476,Cre08.g374250,20h_HL,True,0.0,other
LMJ.RY0402.142353,Cre06.g295050,20h_HL,True,0.0,other
LMJ.RY0402.188401,Cre06.g259950,20h_HL,True,0.0,high_freq
LMJ.RY0402.046209,Cre10.g430200,20h_HL,True,0.0,other
LMJ.RY0402.053444,Cre10.g430900,20h_HL,True,0.0,high_light_freq
LMJ.RY0402.239090,Cre13.g592100,20h_HL,True,0.0,other
LMJ.RY0402.154795,Cre12.g542200,20h_HL,True,0.0,other
LMJ.RY0402.168539,Cre16.g693600,20h_HL,True,0.0,high_freq
LMJ.RY0402.200131,Cre07.g317450,20h_HL,True,1.0,other
LMJ.RY0402.240785,"Cre17.g705750,Cre01.g003950",20h_HL,True,0.0,other
LMJ.RY0402.256210,Cre17.g716050,20h_HL,True,0.0,other
LMJ.RY0402.143718,Cre16.g648750,20h_HL,True,0.0,other
LMJ.RY0402.103661,Cre09.g407150,20h_HL,True,0.0,other
LMJ.RY0402.154874,Cre16.g654150,20h_HL,True,0.0,other
LMJ.RY0402.151780,Cre09.g389912,20h_ML,True,0.0,other
LMJ.RY0402.166049,Cre09.g387400,20h_ML,True,0.0,other
LMJ.RY0402.154368,Cre05.g245351,20h_ML,True,1.0,other
LMJ.RY0402.110865,Cre01.g039550,20h_ML,True,0.0,other
LMJ.RY0402.113112,Cre02.g119050,20h_ML,True,0.0,other
LMJ.RY0402.077214,Cre07.g329300,20h_ML,True,0.0,other
LMJ.RY0402.113349,"Cre06.g278236,Cre03.g192450",20h_ML,True,0.0,other
LMJ.RY0402.061747,Cre10.g465650,20h_ML,True,0.0,other
LMJ.RY0402.116119,Cre12.g556600,20h_ML,True,0.0,other
LMJ.RY0402.139191,Cre10.g427550,20h_ML,True,0.0,other
LMJ.RY0402.189319,Cre16.g648750,20h_ML,True,1.0,other
LMJ.RY0402.191784,Cre10.g451752,20h_ML,True,1.0,other
LMJ.RY0402.213750,Cre09.g400849,20h_ML,True,0.0,other
LMJ.RY0402.103172,Cre12.g538200,20h_ML,True,0.0,other
LMJ.RY0402.191955,Cre09.g397734,20h_ML,True,0.0,other
LMJ.RY0402.243098,Cre02.g095081,20h_ML,True,0.0,other
LMJ.RY0402.227435,Cre12.g538850,20h_ML,True,0.0,other
LMJ.RY0402.097244,Cre13.g588950,20h_ML,True,0.0,other
LMJ.RY0402.052602,Cre09.g399663,20h_ML,True,0.0,high_light_freq
LMJ.RY0402.045061,Cre13.g579250,20h_ML,True,0.0,other
LMJ.RY0402.054234,"Cre14.g626350,Cre14.g626400",20h_ML,True,0.0,other
LMJ.RY0402.054236,Cre04.g215150,20h_ML,True,0.0,high_light
LMJ.RY0402.166364,"Cre09.g389578,Cre02.g095076",20h_ML,True,0.0,other
LMJ.RY0402.165850,Cre05.g248250,20h_ML,True,0.0,other
LMJ.RY0402.154491,Cre01.g021550,20h_ML,True,0.0,other
LMJ.RY0402.168546,Cre13.g588959,20h_ML,True,0.0,other
LMJ.RY0402.119940,Cre13.g573450,20h_ML,True,0.0,other
LMJ.RY0402.118852,"Cre08.g372100,Cre04.g214501",20h_ML,True,0.0,other
LMJ.RY0402.042987,Cre17.g717200,20h_ML,True,0.0,other
LMJ.RY0402.080864,Cre04.g214501,20h_ML,True,0.0,high_light
LMJ.RY0402.052772,Cre06.g278093,20h_ML,True,0.0,other
LMJ.RY0402.076021,Cre13.g591501,20h_ML,True,0.0,other
LMJ.RY0402.058624,Cre13.g588150,20h_ML,True,0.0,high_freq
LMJ.RY0402.103987,Cre01.g033450,20h_ML,True,0.0,other
LMJ.RY0402.122125,"Cre10.g438750 & Cre10.g438783,Cre09.g398808",20h_ML,True,0.0,other
LMJ.RY0402.060340,Cre13.g602700,20h_ML,True,0.0,other
LMJ.RY0402.115726,Cre14.g632750,20h_ML,True,0.0,other
LMJ.RY0402.043444,Cre02.g105350,20h_ML,True,0.0,high_freq
LMJ.RY0402.173729,Cre08.g358571,20h_ML,True,0.0,high_light_freq
LMJ.RY0402.169413,Cre13.g588600,20h_ML,True,0.0,other
LMJ.RY0402.210754,"Cre06.g263357,Cre10.g433100",20h_ML,True,1.0,other
LMJ.RY0402.158381,Cre15.g635800,20h_ML,True,0.0,high_freq
LMJ.RY0402.188401,Cre06.g259950,20h_ML,True,0.0,high_freq
LMJ.RY0402.092470,Cre06.g302250,20h_ML,True,0.0,other
LMJ.RY0402.183036,Cre11.g467768,20h_ML,True,0.0,other
LMJ.RY0402.131642,Cre05.g236700,20h_ML,True,0.0,other
LMJ.RY0402.069599,Cre09.g391753,20h_ML,True,0.0,other
LMJ.RY0402.181834,Cre02.g078939,20h_ML,True,0.0,other
LMJ.RY0402.090828,Cre03.g144011,20h_ML,True,0.0,other
LMJ.RY0402.191505,Cre17.g710300,20h_ML,True,0.0,other
LMJ.RY0402.182607,"Cre09.g405750,Cre04.g232502",20h_ML,True,0.0,other
LMJ.RY0402.168539,Cre16.g693600,20h_ML,True,0.0,high_freq
